what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100822-0100,"org.eclipse.php.debug.core",1300058740696
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100822-0100,"org.eclipse.php.debug.ui",1300058741414
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300058742194
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300058743098
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300058743520
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300058744300
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300058750726
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300058759571
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300058762644
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1300058763409
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1300058764704
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1300058764766
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1300058766856
opened,view,com.vp.vpsde.ec,5.2.1.2,"com.vp.vpsde.ec.views.DiagramTreeView",1300058767995
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1300058768510
opened,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1300058769602
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1300058769852
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1300058771022
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1300058771146
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1300058771146
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1300058778556
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1300058786637
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1300058786668
started,bundle,org.python.pydev.core,1.6.5.2011020317,"org.python.pydev.core",1300058787230
started,bundle,org.python.pydev,1.6.5.2011020317,"org.python.pydev",1300058787433
opened,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300058788400
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300058788728
started,bundle,org.eclipse.jgit,0.11.1,"org.eclipse.jgit",1300058789071
started,bundle,org.eclipse.egit.core,0.11.1,"org.eclipse.egit.core",1300058789570
started,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1300058790225
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.showIn",1300058794266
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300058810271
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300058812156
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1300058812234
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1300058812780
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300058819254
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300058825619
opened,view,com.vp.vpsde.ec,5.2.1.2,"com.vp.vpsde.ec.views.PropertyPaneView",1300058833153
activated,view,com.vp.vpsde.ec,5.2.1.2,"com.vp.vpsde.ec.views.PropertyPaneView",1300058833263
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300058835993
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300058837958
error,log,,,"An unexpected exception was thrown.",1300058838145
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300058838177
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300058839081
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1300058840860
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1300058842279
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1300058842295
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1300058842295
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1300058842311
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1300058842311
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100505-0800,"org.eclipse.php.server.ui",1300058842342
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100822-0100,"org.eclipse.php.debug.ui",1300058842342
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1300058842342
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1300058842357
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1300058842357
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1300058842357
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100822-0100,"org.eclipse.php.debug.core",1300058842357
stopped,bundle,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui",1300058842373
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui",1300058842435
stopped,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1300058842435
